"";"Nombre";"Episodios";"Resumen";"Talternativo";"Creadores";"Directores";"Estreno";"Estado";"Temporadas"
"1";"Karakuri Circus";" 36 Episodios";"Masaru Saiga es un joven de quinto que aspira a ser marionetista. Cuando Sadayoshi Saiga, CEO de la gran compañía de telefonía Saiga y padre de Masaru, fallezca, este heredará un total de 18.000 millones";"Le Cirque de Karakuri, <U+304B><U+3089><U+304F><U+308A><U+30B5><U+30FC><U+30AB><U+30B9> (Japanese)";"N/N";"Nishimura Satoshi";"  11-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"2";"Goblin Slayer";" 12 Episodios";"Una joven sacerdotisa ha formado su primer grupo de aventureros, pero no tardan mucho en verse en serios problemas. Por suerte, quien aparece en su rescate es el Asesino de Goblins, un hombre que ha dedicado su vida a exterminar a todo goblin vi.....";"Goblin Slayer (TV), <U+30B4><U+30D6><U+30EA><U+30F3><U+30B9><U+30EC><U+30A4><U+30E4><U+30FC> (Japanese)";"Kumo Kagyu";"Takaharu Ozaki";"  07-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"3";"Dororo (2019)";" 24 Episodios";"Daigo Kagemitsu es un temible samurái que entregó su futuro hijo a demonios, a cambio de ver cumplido su sueño de conquistar el país. Al cabo del tiempo, nació un niño deforme, al que faltaban cuarenta y ocho partes de su cuerpo. Su ambicioso pa.....";"Dororo to Hyakkimaru, Dororo (TV 2019), <U+3069><U+308D><U+308D> (Japanese)";"Osamu Tezuka";"Furuhashi Kazuhiro";"  07-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"4";"Naruto";" 220 Episodios";"Su historia se desarrolla en un mundo de ninjas, en el que su protagonista, Naruto, sueña con convertirse en Hokage, el líder de su aldea. Sin embargo, el chico no lo tiene fácil, pues desde su niñez ha sido marginado por tener en su interior el.....";"Naruto (TV), <U+30CA><U+30EB><U+30C8> (Japanese)";"N/N";"Hayato Date";"  10-03-2002   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"5";"Bleach";" 366 Episodios";"Kurosaki Ichigo es un estudiante de instituto de 15 años, que tiene una peculiaridad: es capaz de ver, oír y hablar con fantasmas. Pero no sabe hasta dónde puede abarcar la clasificación de espíritus, ni lo que conlleva el saberlo. Un buen día,...";"Bleach";"N/N";"Noriyuki Abe";"  05-10-2004   ";"Próximo";"1 TEMPORADA(S) DISPONIBLE(S)"
"6";"Radiant";" 21 Episodios";"Seth es un joven que aspira a ser un gran hechicero y que vive con Alma, una experta hechicera, una remota isla. Los hechiceros son personas que han sobrevivido al contacto con los temibles Némesis, y los humanos normales los temen como a los mo.....";"Radiant";"N/N";"Kishi Seiji";"  06-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"7";"Tsurune: Kazemai Koukou Kyuudoubu";" 13 Episodios";"Cuando Minato Narumiya comienza como estudiante en la Preparatoria Prefectural Kazemai no tarda en recibir una invitación para formar parte del club de arquería vía el profesor Tommy, quien quiere";"Tsurune: Kazemai Koukou Kyuudoubu";"N/N";"Takuya Yamamura";"  22-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"8";"Yakusoku no Neverland";" 12 Episodios";"Por mucho que los niños la quieran, ella no es su madre. Viven juntos, pero no son familiares de sangre. Grace Field es un hogar al que son enviados los niños que no tienen padres. Un hogar irreemplazable para los 38 niños que allí viven felices.....";"The Promised Neverland";"N/N";"Mamoru Kanbe";"  11-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"9";"Mob Psycho 100 II";" 13 Episodios";"Shigeo Kageyama, ""Mob"" para sus amigos, tiene un secreto: es en realidad un poderoso \""esper\"" capaz de derrotar a las fuerzas malignas que pueblan el mundo. Sin embargo, no le interesa sacar partido de su";"Mob Psycho 100 II";"One";"Yuzuru Tachikawa";"  07-01-2019   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"10";"Sword Art Online Alicization";" 24 Episodios";"En un futuro cercano, un Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) llamado Sword Art Online permite que los jugadores se introduzcan en el juego directamente mediante el uso del Nerve Gear, un casco que les sumerge...";"Sword Art Online Alicization";"N/N";"";"  07-10-2018   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"11";"Ueno-san wa Bukiyou";" 12 Episodios";"El manga de comedia se centra en Ueno, una genio estoica y de fuerte voluntad que es la presidenta del club de ciencias de su escuela. Ella ya ha inventado muchos artefactos útiles para su propio uso, pero su inteligencia no abarca la parte sent.....";"Ueno-san wa Bukiyou";"N/N";"";"  07-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"12";"Hinomaru Zumou";" 24 Episodios";"El sumo es algo más que un arte marcial, ¡es un ritual divino! Prepárate para disfrutar de toda la emoción y sudar como nunca con el mundo del sumo. Ushio Hinomaru puede ser pequeño de tamaño, pero está dispuesto a demostrar su valía en el ring......";"Hinomaru Sumo";"N/N";"Kounosuke Uda";"  05-09-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"13";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen";" 12 Episodios";"¡Todo vale en el amor y en la guerra! Dos genios. Dos cerebros. Dos corazones. Una batalla. ¡¿Quién declarará primero su amor?! Kaguya Shinomiya y Miyuki Shirogane son dos prodigios de gran inteligencia y quienes controlan el consejo de estudian.....";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen";"N/N";"Mamoru Hatakeyama";"  12-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"14";"Black Clover";" 170 Episodios";"<b>Black Clover</b> es un anime Shounen donde sus personajes principales <b>Asta</b> y <b>Yuno</b> son dos huérfanos que fueron criados juntos desde su nacimiento en una iglesia en las afueras del Reino de Clover. En un mundo donde todos tienen...";"Black Clover, black clover wiki, black clover asta, black clover wiki, black clover personajes";"N/N";"Yoshihara Tatsuya";"  03-10-2017   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"15";"Naruto Shippuden";" 500 Episodios";"Naruto quiere ser el mejor ninja en la tierra. La acción comienza tras los dos años y medio que el protagonista, Naruto Uzumaki, ha pasado entrenando con su maestro Jiraiya.";"Naruto Shippuden (TV)";"Masashi Kishimoto";"Hayato Date";"  15-02-2007   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"16";"Tensei shitara Slime Datta Ken";" 25 Episodios";"Satoru Mikami es un hombre de 37 años que tiene un trabajo que no le gusta, sin salida y que no es feliz con la vida que lleva, pero cuando muere a manos de un ladrón y piensa que es su fin.";"That Time I Got Reincarnated as a Slime (TV)";"N/N";"Yasuhito Kikuchi";"  10-02-2002   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"17";"Megalo Box";" 13 Episodios";"En una tierra desolada donde la pobreza aguarda en cada esquina, una moto recorre los caminos a toda velocidad dejando tras de sí una nube de polvo. Sobre ella viaja nuestro protagonista, un hombre sin nombre, sin futuro y sin pasado.";"MEGALOBOX";"N/N";"You Moriyama";"  06-04-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"18";"Dragon Ball Super";" 131 Episodios";"Vuelve Dragon Ball con una nueva serie tras muchos años. Nuevos enemigos, nuevas y poderosas formas, y nuevos personajes que darán forma al futuro de los conocidos personajes. ¡Emociónate";"Dragon Ball Super";"N/N";"Kimitoshi Chioka";"  05-07-2015   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"19";"Darling in the FranXX";" 24 Episodios";"En un futuro distante la humanidad ha creado Plantation, una ciudad fortaleza móvil construida sobre las ruinas del mundo y en la que ha florecido la civilización.";"Darling in the FranXX";"N/N";"Atsushi Nishigori";"  13-01-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"20";"Haikyuu!!";" 25 Episodios";"Basada en el manga original de Haruichi Furudate, el cual se publica en la Weekly Shonen Jump, Haikyu!! es un anime deportivo protagonizado por Shoyo Hinata y su amor por el voleibol.";"Haikyu!!";"N/N";"Susumu Mitsunaka";"  06-04-2014   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"21";"Haikyuu!! Segunda Temporada";" 25 Episodios";"Basada en el manga original de Haruichi Furudate, el cual se publica en la Weekly Shonen Jump, Haikyu!! es un anime deportivo protagonizado por Shoyo Hinata y su amor por el voleibol. Siendo de corta estatura";"Haikyu!! 2nd Season, Haikyuu!! Second Season";"N/N";"Susumu Mitsunaka";"  04-10-2015   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"22";"Haikyuu!! Tercera Temporada";" 10 Episodios";"Basada en el manga original de Haruichi Furudate, el cual se publica en la Weekly Shonen Jump, Haikyu!! es un anime deportivo protagonizado por Shoyo Hinata y su amor por el voleibol.";"";"N/N";"";"  08-10-2016   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"23";"Ore Monogatari";" 24 Episodios";"Takeo Gouda es un gigante con un corazón del mismo tamaño. ¡Es una lástima que las chicas no lo quieran! (Siempre se decantan por Sunakawa, su apuesto amigo).";"My Love Story!! (TV)";"N/N";"Morio Asaka";"  09-04-2015   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"24";"Kaze ga Tsuyoku Fuiteiru";" 23 Episodios";"Haiji lleva tiempo reclutando habitantes para el condominio en el que vive y su objetivo es conseguir que sean diez personas. Para ello no busca a personas cualesquiera, sino que busca a personas a las que les pueda gustar correr, porque tiene u.....";"Run with the Wind";"N/N";"Kazuya Nomura";"  03-10-2018   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"25";"Tengen Toppa Gurren Lagann";" 27 Episodios";"La humanidad es obligada a vivir bajo la superficie pasando asi muchos siglos, llegando a olvidarse y convirtiendo en una leyenda la vida en la superficie. Asi se crean pequeñas colonias excavando por distintos lugares y tratando de escapar de l.....";"Gurren Lagann (TV)";"N/N";"Hiroyuki Imaishi";"  01-04-2007   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"26";"Boruto: Naruto Next Generations";" 90 Episodios";"En Konoha han entrado en una era de paz y modernidad. Los altos edificios despuntan en las calles, las pantallas gigantes muestran imágenes de todo tipo y los medios de transporte conectan los vairos distritos. Pese a que sigue siendo una aldea...";"Boruto: Naruto Next Generations";"N/N";"Hiroyuki Yamashita";"  05-04-2017   ";"Emitiéndose";"1 TEMPORADA(S) DISPONIBLE(S)"
"27";"Gegege no Kitarou (2018)";" 40 Episodios";"En pleno Siglo XXI la gente ha olvidado la existencia de los yokais. Cuando un sinfín de incidentes inexplicables comienzan a sembrar el caos y la confusión entre los adultos del mundo humano.";"Yamamura, Hibiku";"N/N";"Ogawa Kouji";"  01-04-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"28";"Hunter x Hunter (2011)";" 148 Episodios";"Gon, un joven que vive en Isla Ballena, sueña con convertirse en un Cazador como lo era su padre, el cual se fue cuando Gon todavía era un niño.";"Hunter x Hunter";"N/N";"Hiroshi Koujina";"  02-10-2011   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"29";"Death Note";" 37 Episodios";"Light Yagami es un excelente estudiante japonés que ha tenido una vida aburrida. Esto cambia radicalmente cuando encuentra tirado en el suelo un cuaderno conocido como Death Note";"Death Note";"N/N";"Tetsuro Araki";"  04-10-2006   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"30";"Zombieland Saga";" 12 Episodios";"Sakura Minamoto es una chica de preparatoria que espera ser una idol, pero lo que no esperaba era tener que sobrevivir a un terrorífico apocalipsis zombi... o no. Cuando despierta se encuentra en la prefectura de Saga y un hombre muy escandaloso.....";"Zombie Land Saga";"N/N";"Munehisa Sakai";"  04-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"31";"Boku no Hero Academia";" 15 Episodios";"En un mundo en el que la mayor parte de la población nace con un Don, una habilidad extraordinaria diferente en cada cual, no tardaron en aparecer tanto villanos como héroes dispuestos a detenerlos.";"My Hero Academia (TV)";"N/N";"Kenji Nagasaki";"  03-04-2016   ";"Finalizado";" Ova "
"32";"Boku no Hero Academia 2nd Season";" 25 Episodios";"En un mundo en el que la mayor parte de la población nace con un Don, una habilidad extraordinaria diferente en cada cual, no tardaron en aparecer tanto villanos como héroes dispuestos a detenerlos.";"My Hero Academia (TV 2)";"N/N";"Kenji Nagasaki";"  01-04-2017   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"33";"Boku no Hero Academia 3rd Season";" 25 Episodios";"En un mundo en el que la mayor parte de la población nace con un Don, una habilidad extraordinaria diferente en cada cual, no tardaron en aparecer tanto villanos como héroes dispuestos a detenerlos.";"My Hero Academia (TV 3)";"N/N";"Kenji Nagasaki";"  07-04-2018   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"34";"Mob Psycho 100";" 12 Episodios";"Kageyama Shigeo, apodado Mob, es un chico con problemas para expresarse pero que en realidad es un poderoso esper. Mob está decidido a llevar una vida normal y mantiene sus poderes especiales";"Mob Psycho 100, Mob Psycho Hyaku";"N/N";"Yuzuru Tachikawa";"  11-07-2016   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"35";"One Punch Man";" 12 Episodios";"La serie está protagonizada por un héroe que ha entrenado tanto que se ha quedado calvo, y tiene tanta fuerza que puede acabar con cualquier enemigo de un solo puñetazo. Sin embargo, al ser tan fuerte, se aburre y se frustra porque no le cuesta...";"One Punch Man";"N/N";"Shingo Natsume";"  05-10-2015   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"36";"Poputepipikku";" 12 Episodios";"¿Qué podemos decir de esta serie protagonizada por las aparentemente inocentes Popuko y Pipimi? Pues la verdad es que no sabemos qué decir, puesto que la serie nos ofrece humor, confusión, locura y sanación a partes iguales.";"Pop Team Epic";"N/N";"Jun Aoki";"  07-01-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"37";"Asobi Asobase";" 12 Episodios";"La obra cómica mezcla chicas guapas y juegos en varias historias. Kasumi es lista, seria y muy buena en los juegos, pero los odia porque siempre pierde contra su hermana mayor y por ello siempre ha tenido que encargarse de las tareas de la casa.";"Asobi Asobase: Workshop Of Fun";"N/N";"Seiji Kishi";"  08-07-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"38";"World Trigger";" 73 Episodios";"Un día aparece sobre la ciudad un portal a otra dimensión, y de él emergen los Neighbors, invasores gigantescos que amenazan con acabar con toda la humanidad. Para proteger la ciudad y la Tierra se crea Border, un grupo especial de agentes que a.....";"World Trigger (TV)";"N/N";"Mitsuru Hongo";"  05-10-2014   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"39";"Prison School";" 12 Episodios";"La serie toma lugar en un prestigioso instituto estudiantil que recientemente acaba de ser mixto, por lo que cuenta con una población estudiantil de mil chicas y solo 5 chicos.";"Kangoku Gakuen";"N/N";"Tsutomu Mizushima";"  11-07-2015   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"40";"Kakegurui";" 12 Episodios";"Academia Hyakkaou, una prestigiosa escuela privada. Aquí, en esta academia, los estudiantes se dividen en estratos sociales. De pie por encima de todos los demás está el Consejo Estudiantil, que gobierna sobre los estudiantes con sus juegos de a.....";"Kakegurui";"N/N";"Yuichiro Hayashi";"  01-07-2017   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"41";"Hajime no Ippo";" 75 Episodios";"Makunouchi Ippo es un chico honrado y humilde, al que le gusta mucho ayudarle con sus deberes a su madre. Hasta el momento, no tenía ninguna meta u objetivo claro en la vida, pero mientras un día estaba siendo molestado por unos pandilleros, se...";"Espíritu de lucha, Fighting Spirit";"N/N";"Satoshi Nishimura";"  04-10-2000   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"42";"Hajime no Ippo: New Challenger";" 26 Episodios";"Esta es la segunda temporada de Hajime no Ippo, la historía continua justo donde se quedo la primera temporada, ahora tenemos a un Ippo Makunoichi como campeon de Japón y a Takamura Maroru aspirando al titulo mundial.";"";"N/N";"";"  07-01-2009   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"43";"Hajime no Ippo: Rising";" 25 Episodios";"Ippo es un gran boxeador que ya ha tenido que soportar el duro y riguroso entrenamiento de su entrenador, Kamogawa, y ha vencido a un duro oponente tras otro gracias a su golpe característico: el Dempsey Roll. Ahora es el campeón de Japón, pero...";"";"N/N";"";"  06-10-2013   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"44";"Emiya-san Chi no Kyou no Gohan";" 13 Episodios";"Un vistazo más relajado a la franquicia Fate con las habilidades diarias de Emiya en la cocina.";"";"N/N";"";"  31-12-2017   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"45";"Ao no Exorcist";" 25 Episodios";"En el mundo existen Assiah, el territorio de los humanos, y Gehenna, el territorio de los demonios. Aunque normalmente estas dos dimensiones no suelen cruzarse, el que los humanos hayan conseguido poseer sustancias materiales hace que estos se a.....";"Blue Exorcist, Ao no Futsumashi";"N/N";"Tensai Okamura";"  17-04-2011   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"46";"Ao no Exorcist: Kyoto Fujouou-hen";" 12 Episodios";"A finales de la era Edo, un demonio conocido como el Rey Impuro mató a miles de personas. Tras vencer al demonio, los Caballeros de la Verdadera Cruz mantuvieron su ojo izquierdo sellado a salvo en la Academia, pero ahora ha sido robado. Al escu.....";"";"N/N";"Hatsumi Kouichi";"  07-01-2017   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
