"";"Nombre";"Episodios";"Resumen";"Talternativo";"Creadores";"Directores";"Estreno";"Estado";"Temporadas"
"47";"Tokyo Ghoul";" 12 Episodios";"Extraños asesinatos se están sucediendo uno tras otro en Tokyo. Debido a las pruebas encontradas en las escenas, la policía concluye que los ataques son obra de ghouls que se comen a las personas. Kaneki y Hide, dos compañeros de clase, llegan a.....";"Tokyo Ghoul (TV), <U+6771><U+4EAC><U+55B0><U+7A2E> <U+30C8><U+30FC><U+30AD><U+30E7><U+30FC><U+30B0><U+30FC><U+30EB> (Japanese)";"N/N";"Shuhei Morita";"  04-07-2014   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"48";"Tokyo Ghoul:re";" 12 Episodios";"Dos años después del ataque del CCG al Anteiku, la ciudad de Tokio cambia drásticamente debido a la influencia del CCG. Además, los ghouls siguen siendo un problema, pues ahora se han vuelto más cautos.";"Tokyo Kushu:re";"N/N";"Odahiro Watanabe";"  03-04-2018   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"49";"Shingeki no Kyojin";" 25 Episodios";"Muchos años atrás, la humanidad estuvo al borde de la extinción con la aparición de unas criaturas gigantes que devoraban a todas las personas. Huyendo, la humanidad consiguió sobrevivir en una ciudad fortificada de altas murallas que se ha conv.....";"Ataque a los Titanes, Attack on Titan (TV), Shingeki no Kyojin";"N/N";"Tetsuro Araki";"  07-04-2013   ";" Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"50";"Shingeki no Kyojin Season 2";" 12 Episodios";"La batalla con el gigante femenino que rompió la Muralla Sina fue una gran victoria de Eren que ganó la victoria y cerró el telón. Sin embargo, el tiempo de descanso aún no llegó a la humanidad.";"Attack on Titan Season 2";"N/N";"Araki Tetsurou";"  01-04-2017   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"51";"Accel World";" 24 Episodios";"Es el otoño del 2046, Haruyuki es un estudiante de secundaria que es acosado por sus compañeros. Un día, un encuentro con Kuroyukihime, la chica más guapa de toda la escuela, le cambia la vida. A través de un programa que la chica le da a Haruyu.....";"Accel World";"N/N";"Obara Masakazu";"  07-04-2012   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"52";"Shingeki no Kyojin Season 3";" 12 Episodios";"Muchos años atrás, la humanidad estuvo al borde de la extinción con la aparición de unas criaturas gigantes que devoraban a todas las personas. Huyendo, la humanidad consiguió sobrevivir en una ciudad fortificada de altas murallas que se ha conv.....";"Attack on Titan";"N/N";"Araki Tetsurou";"  25-07-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"53";"Hataraku Saibou";" 13 Episodios";"Esta es una historia sobre ti, sobre el interior de tu cuerpo. Según varios estudios, el cuerpo humano posee unos 30 billones de células. Estas células trabajan duro cada día dentro de su mundo";"Cells at Work!";"N/N";"Kenichi Suzuki";"  08-07-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"54";"One Piece";" 1000 Episodios";"Hora de Estreno en Latinoamérica: Domingos 4:00 AM PST (Hora del Pacífico) Monkey. D. Luffy se rehusa a que nadie se interponga en su camino por la búsqueda para convertirse el rey de";"One Piece";"N/N";"Kounosuke Uda";"  20-10-1999   ";"Emitiéndose";"1 TEMPORADA(S) DISPONIBLE(S)"
"55";"Youjo Senki";" 12 Episodios";"Junio del año 1923. Una joven de cabello rubio y ojos azules, Tanya Degurechaff, ha entrado en la selección final de la Academia Militar Imperial y entrena en el distrito militar norte, Norden";"Saga of Tanya the Evil, The Saga of Tanya the Evil";"N/N";"Yutaka Uemura";"  06-01-2017   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"56";"Hinamatsuri";" 12 Episodios";"Yoshifumi Nitta, un joven e intelectual yakuza, vivía rodeado de sus adoradas plantas en su patio de Ashigawa. Un día aparece una niña llamada Hina y usa sus poderes telequinéticos para obligar a Nitta a permitirle vivir con él, poniendo así fin.....";"";"N/N";"";"  06-04-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"57";"Baron Rojo";" 49 Episodios";"En el futuro la Lucha de Metal es el deporte mas popular, el cual consiste en mechas controlados por humanos luchando para conseguir el titulo de Campeón. Ken es el piloto del <b>Baron Rojo</b>, un mecha super poderoso creado por Sally";"Red Baron, baron rojo anime, el baron rojo anime, baron rojo anime serie completa";"N/N";"Akio Sakai";"  05-04-1994   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"58";"Nanatsu no Taizai";" 24 Episodios";"Los Siete Pecados Capitales, un grupo de caballeros malignos que conspiraron para derrocar al Reino de Britania, se dice que fueron erradicados por los Caballeros Sagrados, aunque algunos dicen que aún viven.";"The Seven Deadly Sins (TV)";"N/N";"Tensai Okamura";"  05-10-2014   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"59";"Ansatsu Kyoushitsu";" 22 Episodios";"Los estudiantes de la clase 3-E tienen una misión: asesinar a su profesor antes de la graduación. Él ya ha destruido la luna, y prometió destruir la Tierra si no es asesinado dentro de un año. Pero, ¿cómo podrá esta clase de inadaptados asesinar.....";"Assassination Classroom";"N/N";"Kishi Seiji";"  10-01-2015   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"60";"Zetman";" 13 Episodios";"Jin Kanzaki, un extraño chico con una marca de ángel en su mano. Vive una vida pobre pero tranquila a lado de su abuelo, junto con otros indigentes cerca de un río. Un día, su vida pacífica cambia cuando un extraño monstruo denominado Player apa.....";"";"N/N";"";"  03-04-2012   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"61";"Blood Lad";" 10 Episodios";"Staz es el vampiro jefe de una sección del mundo demoníaco, aunque la sangre humana no le interesa lo más mínimo. A él lo que le gusta es la cultura japonesa, y cuando una adolescente japonesa llamada Yanagi Fuyumi acaba en la ciudad demoníaca,...";"";"N/N";"";"  08-07-2013   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"62";"Katekyo Hitman Reborn!";" 203 Episodios";"Tsunayoshi Sawada (Tsuna) era un chico normal hasta que su pariente Timoteo (el 9º capo de la familia Vongola) le comunica que él va a ser su sucesor. Para que Tsuna este preparado para el momento en el que el sea el 10º capo, manda a su casa a...";"Reborn! (TV), <U+5BB6><U+5EAD><U+6559><U+5E2B><U+30D2><U+30C3><U+30C8><U+30DE><U+30F3> REBORN! (Japanese)";"N/N";"Kenichi Imaizumi";"  07-10-2006   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"63";"Isekai Maou to Shoukan Shoujo no Dorei Majutsu";" 12 Episodios";"En el MMORPG Cross Reverie, Takuma Sakamoto es tan poderoso que otros jugadores se refieren a él como Rey Demonio. Sin embargo, un día es invocado a otro mundo... ¡con el mismo aspecto que tenía en el juego! Allí conocerá a dos chicas que dicen...";"";"N/N";"";"  05-07-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"64";"Kill la Kill";" 24 Episodios";"¡Después de 6 años desde su colaboración con la serie Tengen Toppa Gurren Lagan, Hiroyuki Imaishi y Kazuki Nakashima han regresado para impactar al mundo! Ryuko Matoi es una chica colegiala vagabunda, que viaja de un lugar a otro en busca de pis.....";"KILL la KILL";"N/N";"Hiroyuki Imaishi";"  04-10-2013   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"65";"Akame ga Kill!";" 24 Episodios";"La historia nos lleva a través de las aventuras de Tatsumi, un joven boxeador que viajó a la capital imperial para unirse al ejército. Sin embargo, descubre que la ciudad está dañada por el ansia de poder de los funcionarios, que se aprovechan d.....";"Akame ga KILL! (TV)";"N/N";"Tomoki Kobayashi";"  07-07-2014   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"66";"No Game No Life";" 12 Episodios";"La historia está protagonizada por Sora y Shiro, hermano y hermana, que son muy famosos en todo Internet como NEETs y hikikomoris que se pasan el día jugando a videojuegos, tanto que son una leyenda. Los dos consideran el mundo real como ?un jue.....";"No Game, No Life (TV)";"N/N";"Atsuko Ishizuka";"  09-04-2014   ";"Finalizado";" Pelicula "
"67";"Ninja Scroll";" 1 Episodios";"Resumen de Complot: Catorce años después de derrotar al guerrero inmortal Himuro Genma y frustrar el Shogun de los malos proyectos de Dark, Kibagami el Jubei sigue vagando por todas partes de Japón como un esgrimidor masterless. Durante su viaje.....";"Juubee Ninpuuchou, <U+7363><U+5175><U+885B><U+5FCD><U+98A8><U+5E16> (Japanese)";"N/N";"Yoshiaki Kawajiri";"  15-04-2003   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"68";"Overlord III";" 13 Episodios";"La historia da comienzo cuando Yggdrasil, un popular juego online, es cerrado un día sin previo aviso. Sin embargo, el protagonista, Momonga, decide no salir del juego. Momonga así se transforma y se convierte en ?el mago más poderoso?. El mundo.....";"";"N/N";"";"  07-07-2015   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"69";"Overlord";" 13 Episodios";"La historia da comienzo cuando Yggdrasil, un popular juego online, es cerrado un día sin previo aviso. Sin embargo, el protagonista, Momonga, decide no salir del juego. Momonga así se transforma y se convierte en ?el mago más poderoso?. El mundo.....";"Overlord, <U+30AA><U+30FC><U+30D0><U+30FC><U+30ED><U+30FC><U+30C9>";"N/N";"";"  07-07-2015   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"70";"Overlord II";" 13 Episodios";"Desde que apareció en otro mundo, Ains ha enviado comandos diarios como gobernante de la Gran Tumba de Nazarick. También mantiene a su alter-ego Momon, el aventurero más fuerte en E-Rantel, para reunir fondos y prestar atención al oído. Se embar.....";"";"N/N";"";"  09-01-2018   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"71";"Kakegurui 2";" 12 Episodios";"Yumeko Jabami es una gran apostadora y planea limpiar Hyakkaou, una academia privada que evalúa a los estudiantes solo por sus habilidades en los juegos de azar.";"Kakeguruixx";"N/N";"Yuichiro Hayashi";"  09-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"72";"Baki (2018)";" 26 Episodios";"<b>Baki</b> (2018) es un anime de mucha acción donde mientras el campeón de artes marciales <b>Baki Hanma</b> se entrena para superar la leyenda del padre, cinco condenados a muerte descienden sobre Tokio para desafiarlo";"Baki, baki anime, baki the grappler, baki grappler, baki 2018, baki temporada 2";"N/N";"Hirano Toshiki";"  25-06-2018   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"73";"Space Dandy";" 13 Episodios";"Dandy, es un cazador de aliens al que se le conoce por ser ?el dandy número uno del espacio?. El anime se desarrolla en un futuro distante en el que la humanidad ha viajado hasta los confines del universo. Dandy se dedica a buscar extraterrestre.....";"Space Dandy";"N/N";"Shingo Natsume";"  05-01-2014   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"74";"JoJos Bizarre Adventure The Animation";" 26 Episodios";"La historia comienza con Jonathan Joestar, que vive con su padre George en Inglaterra con un nivel económico alto. Otro chico Dio Brando es adoptado por ellos dos ya que George creía que su padre Dario Brando les había salvado la vida. Jonathan...";"JoJo no Kimyou na Bouken (TV)";"N/N";"Naokatsu Tsuda";"  06-10-2012   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"75";"Samurai 7";" 26 Episodios";"En un futuro lejano, en un planeta que una vez fue llamado Tierra, los campesinos del pueblo de Kanna sufren continuamente los ataques de los Nobuseri, samuráis arruinados por la ausencia de guerras en las que lucharon, por lo que para sobrevivi.....";"Samurai Seven, Samurai 7 (TV)";"N/N";"Toshifumi Takizawa";"  12-06-2004   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"76";"Fairy Tail: Final Series";" 51 Episodios";"Fairy Tail ha sido disuelta. Un año después, Lucy entró en contacto con Natsu y Happy. Los tres intentan encontrar el paradero de los otros miembros anteriores para reconstruir el gremio mientras buscan la verdadera razón detrás de la disolución.....";"Fairy Tail Season 3, Fairy Tail (2018)";"N/N";"Ishihira Shinji";"  07-01-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"77";"Soul Eater";" 51 Episodios";"En el Mundo de los Muertos, los altos cargos portan armas llamadas \""Guadañas Mortales\"". Éstas se consiguen cuando el alma de una Guadaña (creada por un Técnico especialista) consigue comerse 99 almas humano-demonio y 1 alma de bruja. Pero la v.....";"Atsushi Okubo";"N/N";"Takuya Igarashi";"  07-04-2008   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"78";"Rock Lee no Seishun Full-Power Ninden";" 51 Episodios";"Pequeñas historias protagonizadas por los personajes de NARUTO, principalmente por Rock Lee, con un estilo de humor en versión super deforme.";"NARUTO Spin-Off: Rock Lee & His Ninja Pals, NARUTO<U+30CA><U+30EB><U+30C8>SD <U+30ED><U+30C3><U+30AF>·<U+30EA><U+30FC><U+306E><U+9752><U+6625><U+30D5><U+30EB><U+30D1><U+30EF><U+30FC><U+5FCD><U+4F1D> (Japanese)";"N/N";"Watanabe Masaharu";"  03-04-2012   ";"Finalizado";"3 TEMPORADA(S) DISPONIBLE(S)"
"79";"Fairy Tail";" 175 Episodios";"Lucy Heartfilia es una joven decidida a unirse al gremio de magos Fairy Tail. En su recorrido conocerá a Natsu, que es parte del gremio y que le ofrece entrar a formar parte de sus filas. Una historia de amistad, superación, combates mágicos, hu.....";"Fairy Tail";"N/N";"Ishihira Shinji";"  12-10-2009   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"80";"Nurarihyon no Mago";" 24 Episodios";"Rikuo Nura, tiene 3 partes humanas y un cuarto de demonio, vive en una casa de espíritus con su abuelo, el actual jefe de clan de la Nura youkai. Rikou está listo para ser el próximo jefe de clan, a pesar del hecho de que no le gusta su lado dem.....";"Nura: Rise of the Yokai Clan";"N/N";"Nishimura Junji";"  06-07-2010   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"81";"Blue Dragon";" 51 Episodios";"Blue Dragon se centra en un mundo donde las sombras cobran vida propia. El protagonista de esta historia es un joven llamado Shu, quien tiene por sombra a un Dragón Azul, el cual repite los movimientos que el chico realiza. Shu, lleno de curiosi.....";"Blue Dragon Uncut";"N/N";"Yukihiro Matsushita";"  07-04-2007   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"82";"Bakuman";" 25 Episodios";"Moritaka Mashiro es un estudiante de secundaria que no termina de encajar bien en nada, excepto en el dibujo. Un día, Akito Takagi coge prestada la libreta de dibujo de Mashiro, ve todos esos impresionantes dibujos y le propone ser Mangaka. Pese.....";"Bakuman Season 1";"N/N";"Kenichi Kasai, Noriaki Akitaya";"  02-10-2010   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"83";"Noragami";" 12 Episodios";"Yato es un dios menor cuyo sueño es tener una gran cantidad de seguidores que lo adoren y recen plegarias por él. Desafortunadamente, su sueño está lejos de hacerse realidad, ya que no tiene ni siquiera un solo santuario dedicado a él. Para empe.....";"Noragami: Stray God";"N/N";"Tamura Koutarou";"  05-01-2014   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"84";"Noragami Aragoto";" 13 Episodios";"Yato y Yukine finalmente han arreglado su relación como dios y Regalia, y todos han regresado a su vida diaria. Yato sigue siendo una deidad menor y desconocida que continúa realizando trabajos ocasionales durante cinco yenes con la esperanza de.....";"Noragami Aragoto";"N/N";"Tamura Koutarou";"  03-10-2015   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"85";"Slayers (Los Justicieros)";" 26 Episodios";"<b>Slayers</b> nos cuenta las aventuras de Rina Inverse, una Joven Maga que se dedicaba a Robar a los bandidos (como Robin Hood con la pequeña diferencia de que Rina, no les regresaba el dinero a los pobres).";"The Slayers, Slayers TV, Slayers anime";"N/N";"Kobayashi Noriko";"  07-04-1995   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"86";"Arslan Senki (TV)";" 25 Episodios";"En el próspero reino de Pars está la Capital Real de Ecbatana, una ciudad espléndida y maravillosa, reinada por el no derrotado y temido Rey Andragoras. Arslan es el joven y curioso príncipe de Pars quien, pese a sus mayores esfuerzos, no parece.....";"The Heroic Legend of Arslan";"N/N";"Abe Noriyuki";"  05-04-2015   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"87";"Grancrest Senki";" 24 Episodios";"Una maga solitaria llamada Siluca y un caballero errante llamado Theo hacen un juramento como maestro y aprendiz con la esperanza de reformar unas tierras azotadas por la guerra y el caos. Atlatan, una tierra gobernada por el caos. Temiendo el d.....";"Record of Grancrest War";"N/N";"Omata Shinichi";"  06-01-2018   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"88";"Sword Art Online Alternative: Gun Gale Online";" 12 Episodios";"Karen Kohiruimaki es una chica universitaria que mide 183 cm y a la que su estatura la tiene acomplejada, lo que hace que no se le dé muy bien relacionarse con los demás. En cambio, cuando entra al mundo virtual de Gun Gale Online sus completos...";"SAO Alternative Gun Gale Online";"N/N";"Sakoi Masayuki";"  08-04-2018   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"89";"Magi: The Labyrinth of Magic";" 25 Episodios";"Alibaba es un muchacho que vive en mundo en el que han aparecido misteriosas torres por el mundo conocidas como \""Mazmorras\"". Se dice que quien entre en una y consiga llegar hasta el final, conseguirá tesoros y poderes de incalculable valor. Al.....";"Magi Season 1, The labyrinth of magic";"N/N";"Masunari Koji";"  07-10-2012   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
"90";"Magi: The Kingdom of Magic";" 25 Episodios";"Después de su victoria contra Al-Thamen, Aladdin y sus amigos abandonan la tierra de Sindria. Con el final de la batalla, sin embargo, llega el momento de que cada uno de ellos vaya por caminos separados. A Hakuryuu y Kougyoku se les ordena regr.....";"Magi: The Labyrinth of Magic 2";"N/N";"Masunari Koji";"  06-10-2013   ";"Finalizado";"0 TEMPORADA(S) DISPONIBLE(S)"
